#timebase=80000000(ps)
,#voltbase=2000000(uV)
#size=40064
1.01000E-04,4720.000
1.01250E-04,4720.000
1.01500E-04,4720.000
1.01750E-04,4800.000
1.02000E-04,4880.000
1.02250E-04,4800.000
1.02500E-04,4720.000
1.02750E-04,4800.000
1.03000E-04,4800.000
1.03250E-04,4800.000
1.03500E-04,4800.000
1.03750E-04,4800.000
1.04000E-04,4800.000
1.04250E-04,4800.000
1.04500E-04,4800.000
1.04750E-04,4720.000
1.05000E-04,4720.000
1.05250E-04,4800.000
1.05500E-04,4880.000
1.05750E-04,4800.000
1.06000E-04,4720.000
1.06250E-04,4800.000
1.06500E-04,4800.000
1.06750E-04,4800.000
1.07000E-04,4880.000
1.07250E-04,4800.000
1.07500E-04,4800.000
1.07750E-04,4800.000
1.08000E-04,4800.000
1.08250E-04,4800.000
1.08500E-04,4720.000
1.08750E-04,4880.000
1.09000E-04,4800.000
1.09250E-04,4720.000
1.09500E-04,4800.000
1.09750E-04,4720.000
1.10000E-04,4720.000
1.10250E-04,4880.000
1.10500E-04,4800.000
1.10750E-04,4800.000
1.11000E-04,4640.000
1.11250E-04,4800.000
1.11500E-04,4640.000
1.11750E-04,4800.000
1.12000E-04,4800.000
1.12250E-04,4720.000
1.12500E-04,4880.000
1.12750E-04,4720.000
1.13000E-04,4720.000
1.13250E-04,4800.000
1.13500E-04,4800.000
1.13750E-04,4880.000
1.14000E-04,4800.000
1.14250E-04,4880.000
1.14500E-04,4720.000
1.14750E-04,4720.000
1.15000E-04,4800.000
1.15250E-04,4800.000
1.15500E-04,4800.000
1.15750E-04,4720.000
1.16000E-04,4800.000
1.16250E-04,4720.000
1.16500E-04,4800.000
1.16750E-04,4800.000
1.17000E-04,4800.000
1.17250E-04,4880.000
1.17500E-04,4960.000
1.17750E-04,4800.000
1.18000E-04,4720.000
1.18250E-04,4800.000
1.18500E-04,4800.000
1.18750E-04,4800.000
1.19000E-04,4800.000
1.19250E-04,4720.000
1.19500E-04,4880.000
1.19750E-04,4800.000
1.20000E-04,4720.000
1.20250E-04,4800.000
1.20500E-04,4800.000
1.20750E-04,4880.000
1.21000E-04,4880.000
1.21250E-04,4800.000
1.21500E-04,4720.000
1.21750E-04,4720.000
1.22000E-04,4880.000
1.22250E-04,4880.000
1.22500E-04,4720.000
1.22750E-04,4640.000
1.23000E-04,4800.000
1.23250E-04,4800.000
1.23500E-04,4720.000
1.23750E-04,4880.000
1.24000E-04,4880.000
1.24250E-04,4880.000
1.24500E-04,4720.000
1.24750E-04,4800.000
1.25000E-04,4720.000
1.25250E-04,4800.000
1.25500E-04,4880.000
1.25750E-04,4800.000
1.26000E-04,4800.000
1.26250E-04,4880.000
1.26500E-04,4800.000
1.26750E-04,4880.000
1.27000E-04,4800.000
1.27250E-04,4800.000
1.27500E-04,4880.000
1.27750E-04,4800.000
1.28000E-04,4720.000
