#timebase=20000000(ps)
,#voltbase=50000(uV)
#size=4064
6.42000E-05,18.000
6.43000E-05,18.000
6.44000E-05,16.000
6.45000E-05,16.000
6.46000E-05,14.000
6.47000E-05,10.000
6.48000E-05,12.000
6.49000E-05,14.000
6.50000E-05,12.000
6.51000E-05,10.000
6.52000E-05,6.000
6.53000E-05,10.000
6.54000E-05,8.000
6.55000E-05,8.000
6.56000E-05,6.000
6.57000E-05,6.000
6.58000E-05,6.000
6.59000E-05,2.000
6.60000E-05,2.000
6.61000E-05,2.000
6.62000E-05,2.000
6.63000E-05,0.000
6.64000E-05,0.000
6.65000E-05,-2.000
6.66000E-05,-2.000
6.67000E-05,-2.000
6.68000E-05,-2.000
6.69000E-05,-6.000
6.70000E-05,-8.000
6.71000E-05,-6.000
6.72000E-05,-6.000
6.73000E-05,-10.000
6.74000E-05,-10.000
6.75000E-05,-8.000
6.76000E-05,-12.000
6.77000E-05,-10.000
6.78000E-05,-12.000
6.79000E-05,-12.000
6.80000E-05,-14.000
6.81000E-05,-14.000
6.82000E-05,-20.000
6.83000E-05,-20.000
6.84000E-05,-20.000
6.85000E-05,-16.000
6.86000E-05,-12.000
6.87000E-05,-6.000
6.88000E-05,-8.000
6.89000E-05,-10.000
6.90000E-05,-14.000
6.91000E-05,-18.000
6.92000E-05,-18.000
6.93000E-05,-16.000
6.94000E-05,-16.000
6.95000E-05,-12.000
6.96000E-05,-14.000
6.97000E-05,-16.000
6.98000E-05,-14.000
6.99000E-05,-12.000
7.00000E-05,-16.000
7.01000E-05,-16.000
7.02000E-05,-14.000
7.03000E-05,-16.000
7.04000E-05,-14.000
7.05000E-05,-16.000
7.06000E-05,-14.000
7.07000E-05,-18.000
7.08000E-05,-18.000
7.09000E-05,-18.000
7.10000E-05,-18.000
7.11000E-05,-16.000
7.12000E-05,-18.000
7.13000E-05,-18.000
7.14000E-05,-16.000
7.15000E-05,-16.000
7.16000E-05,-20.000
7.17000E-05,-20.000
7.18000E-05,-18.000
7.19000E-05,-20.000
7.20000E-05,-20.000
7.21000E-05,-18.000
7.22000E-05,-20.000
7.23000E-05,-22.000
7.24000E-05,-24.000
7.25000E-05,-18.000
7.26000E-05,-18.000
7.27000E-05,-22.000
7.28000E-05,-18.000
7.29000E-05,-22.000
7.30000E-05,-20.000
7.31000E-05,-18.000
7.32000E-05,-20.000
7.33000E-05,-20.000
7.34000E-05,-20.000
7.35000E-05,-22.000
7.36000E-05,-22.000
7.37000E-05,-20.000
7.38000E-05,-20.000
7.39000E-05,-22.000
7.40000E-05,-22.000
7.41000E-05,-22.000
7.42000E-05,-22.000
7.43000E-05,-24.000
7.44000E-05,-24.000
7.45000E-05,-22.000
7.46000E-05,-22.000
7.47000E-05,-22.000
7.48000E-05,-22.000
7.49000E-05,-22.000
7.50000E-05,-24.000
7.51000E-05,-24.000
7.52000E-05,-22.000
7.53000E-05,-22.000
7.54000E-05,-20.000
7.55000E-05,-20.000
7.56000E-05,-20.000
7.57000E-05,-20.000
7.58000E-05,-20.000
7.59000E-05,-22.000
7.60000E-05,-22.000
7.61000E-05,-22.000
7.62000E-05,-22.000
7.63000E-05,-20.000
7.64000E-05,-22.000
7.65000E-05,-22.000
7.66000E-05,-22.000
7.67000E-05,-22.000
7.68000E-05,-24.000
7.69000E-05,-22.000
7.70000E-05,-22.000
7.71000E-05,-22.000
7.72000E-05,-24.000
7.73000E-05,-22.000
7.74000E-05,-22.000
7.75000E-05,-24.000
7.76000E-05,-22.000
7.77000E-05,-24.000
7.78000E-05,-22.000
7.79000E-05,-22.000
7.80000E-05,-22.000
7.81000E-05,-22.000
7.82000E-05,-24.000
7.83000E-05,-22.000
7.84000E-05,-24.000
7.85000E-05,-24.000
7.86000E-05,-22.000
7.87000E-05,-22.000
7.88000E-05,-24.000
7.89000E-05,-24.000
7.90000E-05,-24.000
7.91000E-05,-26.000
7.92000E-05,-22.000
7.93000E-05,-24.000
7.94000E-05,-20.000
7.95000E-05,-24.000
7.96000E-05,-24.000
7.97000E-05,-26.000
7.98000E-05,-24.000
7.99000E-05,-22.000
8.00000E-05,-22.000
8.01000E-05,-24.000
8.02000E-05,-24.000
8.03000E-05,-24.000
8.04000E-05,-24.000
8.05000E-05,-24.000
8.06000E-05,-22.000
8.07000E-05,-22.000
8.08000E-05,-22.000
8.09000E-05,-22.000
8.10000E-05,-22.000
8.11000E-05,-22.000
8.12000E-05,-20.000
8.13000E-05,-24.000
8.14000E-05,-24.000
8.15000E-05,-24.000
8.16000E-05,-22.000
8.17000E-05,-22.000
8.18000E-05,-22.000
8.19000E-05,-22.000
8.20000E-05,-24.000
8.21000E-05,-24.000
8.22000E-05,-20.000
8.23000E-05,-22.000
8.24000E-05,-24.000
8.25000E-05,-22.000
8.26000E-05,-24.000
8.27000E-05,-22.000
8.28000E-05,-24.000
8.29000E-05,-24.000
8.30000E-05,-24.000
8.31000E-05,-24.000
8.32000E-05,-22.000
8.33000E-05,-24.000
8.34000E-05,-22.000
8.35000E-05,-22.000
8.36000E-05,-20.000
8.37000E-05,-24.000
8.38000E-05,-22.000
8.39000E-05,-24.000
8.40000E-05,-24.000
8.41000E-05,-22.000
8.42000E-05,-24.000
8.43000E-05,-24.000
8.44000E-05,-26.000
8.45000E-05,-24.000
8.46000E-05,-24.000
8.47000E-05,-24.000
8.48000E-05,-22.000
8.49000E-05,-22.000
8.50000E-05,-22.000
8.51000E-05,-22.000
8.52000E-05,-22.000
8.53000E-05,-22.000
8.54000E-05,-26.000
8.55000E-05,-22.000
8.56000E-05,-22.000
8.57000E-05,-20.000
8.58000E-05,-28.000
8.59000E-05,-42.000
8.60000E-05,-22.000
8.61000E-05,-20.000
8.62000E-05,-20.000
8.63000E-05,-20.000
8.64000E-05,-20.000
8.65000E-05,-18.000
8.66000E-05,-14.000
8.67000E-05,-16.000
8.68000E-05,-14.000
8.69000E-05,-16.000
8.70000E-05,-14.000
8.71000E-05,-10.000
8.72000E-05,-10.000
8.73000E-05,-12.000
8.74000E-05,-10.000
8.75000E-05,-6.000
8.76000E-05,-8.000
8.77000E-05,-8.000
8.78000E-05,-6.000
8.79000E-05,-6.000
8.80000E-05,-4.000
8.81000E-05,0.000
8.82000E-05,0.000
8.83000E-05,0.000
8.84000E-05,-2.000
8.85000E-05,0.000
8.86000E-05,0.000
8.87000E-05,4.000
8.88000E-05,2.000
8.89000E-05,4.000
8.90000E-05,4.000
8.91000E-05,6.000
8.92000E-05,8.000
8.93000E-05,6.000
8.94000E-05,10.000
8.95000E-05,8.000
8.96000E-05,14.000
8.97000E-05,12.000
8.98000E-05,12.000
8.99000E-05,16.000
9.00000E-05,14.000
9.01000E-05,16.000
9.02000E-05,18.000
9.03000E-05,18.000
9.04000E-05,18.000
9.05000E-05,20.000
9.06000E-05,22.000
9.07000E-05,24.000
9.08000E-05,22.000
9.09000E-05,24.000
9.10000E-05,24.000
9.11000E-05,26.000
9.12000E-05,26.000
9.13000E-05,26.000
9.14000E-05,30.000
9.15000E-05,28.000
9.16000E-05,30.000
9.17000E-05,30.000
9.18000E-05,34.000
9.19000E-05,36.000
9.20000E-05,34.000
9.21000E-05,36.000
9.22000E-05,32.000
9.23000E-05,36.000
9.24000E-05,38.000
9.25000E-05,36.000
9.26000E-05,40.000
9.27000E-05,36.000
9.28000E-05,40.000
9.29000E-05,40.000
9.30000E-05,40.000
9.31000E-05,40.000
9.32000E-05,40.000
9.33000E-05,42.000
9.34000E-05,42.000
9.35000E-05,44.000
9.36000E-05,40.000
9.37000E-05,44.000
9.38000E-05,44.000
9.39000E-05,44.000
9.40000E-05,46.000
9.41000E-05,46.000
9.42000E-05,46.000
9.43000E-05,48.000
9.44000E-05,48.000
9.45000E-05,46.000
9.46000E-05,48.000
9.47000E-05,50.000
9.48000E-05,48.000
9.49000E-05,48.000
9.50000E-05,52.000
9.51000E-05,50.000
9.52000E-05,50.000
9.53000E-05,52.000
9.54000E-05,52.000
9.55000E-05,50.000
9.56000E-05,50.000
9.57000E-05,50.000
9.58000E-05,50.000
9.59000E-05,50.000
9.60000E-05,54.000
9.61000E-05,50.000
9.62000E-05,54.000
9.63000E-05,54.000
9.64000E-05,54.000
9.65000E-05,52.000
9.66000E-05,54.000
9.67000E-05,50.000
9.68000E-05,52.000
9.69000E-05,50.000
9.70000E-05,52.000
9.71000E-05,52.000
9.72000E-05,54.000
9.73000E-05,52.000
9.74000E-05,52.000
9.75000E-05,50.000
9.76000E-05,52.000
9.77000E-05,50.000
9.78000E-05,50.000
9.79000E-05,50.000
9.80000E-05,52.000
9.81000E-05,48.000
9.82000E-05,48.000
9.83000E-05,50.000
9.84000E-05,46.000
9.85000E-05,50.000
9.86000E-05,48.000
9.87000E-05,50.000
9.88000E-05,48.000
9.89000E-05,46.000
9.90000E-05,48.000
9.91000E-05,46.000
9.92000E-05,46.000
9.93000E-05,48.000
9.94000E-05,46.000
9.95000E-05,44.000
9.96000E-05,44.000
9.97000E-05,46.000
9.98000E-05,42.000
9.99000E-05,44.000
1.00000E-04,42.000
1.00100E-04,42.000
1.00200E-04,40.000
1.00300E-04,38.000
1.00400E-04,40.000
1.00500E-04,42.000
1.00600E-04,38.000
1.00700E-04,40.000
1.00800E-04,34.000
1.00900E-04,34.000
1.01000E-04,36.000
1.01100E-04,34.000
1.01200E-04,34.000
1.01300E-04,34.000
1.01400E-04,34.000
1.01500E-04,30.000
1.01600E-04,32.000
1.01700E-04,32.000
1.01800E-04,32.000
1.01900E-04,30.000
1.02000E-04,30.000
1.02100E-04,28.000
1.02200E-04,26.000
1.02300E-04,24.000
1.02400E-04,24.000
1.02500E-04,24.000
1.02600E-04,24.000
1.02700E-04,20.000
1.02800E-04,20.000
1.02900E-04,20.000
1.03000E-04,20.000
1.03100E-04,18.000
1.03200E-04,18.000
1.03300E-04,18.000
1.03400E-04,16.000
1.03500E-04,14.000
1.03600E-04,14.000
1.03700E-04,16.000
1.03800E-04,14.000
1.03900E-04,12.000
1.04000E-04,12.000
1.04100E-04,10.000
1.04200E-04,10.000
1.04300E-04,8.000
1.04400E-04,8.000
1.04500E-04,6.000
