#timebase=40000000(ps)
,#voltbase=2000000(uV)
#size=40064
2.37000E-05,4720.000
2.37500E-05,4640.000
2.38000E-05,4800.000
2.38500E-05,4640.000
2.39000E-05,4800.000
2.39500E-05,4880.000
2.40000E-05,4880.000
2.40500E-05,4880.000
2.41000E-05,4880.000
2.41500E-05,4880.000
2.42000E-05,4880.000
2.42500E-05,4720.000
2.43000E-05,4720.000
2.43500E-05,4800.000
2.44000E-05,4880.000
2.44500E-05,4880.000
2.45000E-05,4720.000
2.45500E-05,4720.000
2.46000E-05,4880.000
2.46500E-05,4800.000
2.47000E-05,4800.000
2.47500E-05,4800.000
2.48000E-05,4800.000
2.48500E-05,4800.000
2.49000E-05,4720.000
2.49500E-05,4800.000
2.50000E-05,4720.000
2.50500E-05,4800.000
2.51000E-05,4880.000
2.51500E-05,4800.000
2.52000E-05,4880.000
2.52500E-05,4720.000
2.53000E-05,4720.000
2.53500E-05,4800.000
2.54000E-05,4880.000
2.54500E-05,4720.000
2.55000E-05,4800.000
2.55500E-05,4880.000
2.56000E-05,4800.000
2.56500E-05,4800.000
2.57000E-05,4880.000
2.57500E-05,4880.000
2.58000E-05,4800.000
2.58500E-05,4640.000
2.59000E-05,4880.000
2.59500E-05,4880.000
2.60000E-05,4800.000
2.60500E-05,4720.000
2.61000E-05,4800.000
2.61500E-05,4800.000
2.62000E-05,4800.000
2.62500E-05,4880.000
2.63000E-05,4800.000
2.63500E-05,4880.000
2.64000E-05,4800.000
2.64500E-05,4720.000
2.65000E-05,4800.000
2.65500E-05,4800.000
2.66000E-05,4720.000
2.66500E-05,4800.000
2.67000E-05,4800.000
2.67500E-05,4800.000
2.68000E-05,4800.000
2.68500E-05,4800.000
2.69000E-05,4720.000
2.69500E-05,4880.000
2.70000E-05,4800.000
2.70500E-05,4720.000
2.71000E-05,4720.000
2.71500E-05,4880.000
2.72000E-05,4880.000
2.72500E-05,4720.000
2.73000E-05,4800.000
2.73500E-05,4800.000
2.74000E-05,4880.000
2.74500E-05,4720.000
2.75000E-05,4880.000
2.75500E-05,4880.000
2.76000E-05,4880.000
2.76500E-05,4880.000
2.77000E-05,4720.000
2.77500E-05,4800.000
2.78000E-05,4880.000
2.78500E-05,4720.000
2.79000E-05,4800.000
2.79500E-05,4880.000
2.80000E-05,4800.000
2.80500E-05,4880.000
2.81000E-05,4880.000
2.81500E-05,4720.000
2.82000E-05,4720.000
2.82500E-05,4800.000
2.83000E-05,4800.000
2.83500E-05,4960.000
2.84000E-05,4800.000
2.84500E-05,4720.000
2.85000E-05,4800.000
2.85500E-05,4800.000
2.86000E-05,4960.000
2.86500E-05,4800.000
2.87000E-05,4800.000
2.87500E-05,4800.000
2.88000E-05,4800.000
2.88500E-05,4800.000
2.89000E-05,4880.000
2.89500E-05,4800.000
2.90000E-05,4720.000
2.90500E-05,4880.000
2.91000E-05,4880.000
2.91500E-05,4880.000
2.92000E-05,4880.000
2.92500E-05,4720.000
2.93000E-05,4800.000
2.93500E-05,4880.000
2.94000E-05,4800.000
